display_name,strategy_bucket,active,cnpj,manager,match_status,notes,source_label,subscription_status,subscription_status_source,subscription_status_checked_at,evidence_note
XP Investor Equity Hedge,Long Short,True,43.761.934/0001-59,XP Asset,matched,XP Investor Equity Hedge FIC FI Financeiro Multimercado RL,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
SPX Hornet,Long Short,True,46.997.468/0001-01,SPX Capital,matched,SPX Hornet Equity Hedge FIC FIM,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Ibiuna Long Short,Long Short,True,18.391.138/0001-24,Ibiuna,matched,Ibiuna Long Short STLS FIC FIM,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
AZ Quest Total Return,Long Short,True,14.812.722/0001-55,AZ Quest,matched,AZ Quest Total Return FIC FI Financeiro Multimercado,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Bahia Una Equity Hedge,Long Short,True,61.373.421/0001-52,Bahia Asset,matched,Bahia AM Una Equity Hedge FIF CI Multimercado RL,BAHIA AM UNA EH FIF CI MULT RL | SUB CONDOMINIAL,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Polo I,Long Short,True,05.605.879/0001-19,Polo Capital,matched,Polo I FI Financeiro da Classe FIC Ações RL; user chose Polo I over Polo II,Polo I FIC FIA,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open per manual review (funds_subscription_status.xlsx); note: CVM legacy cad_fi shows SIT=CANCELADA for this CNPJ — fund likely migrated to a new legal vehicle or continues under a different registration
Schroder GAIA Contour Tech,Long Short,True,35.769.107/0001-83,Schroders,matched,Schroder GAIA Contour Tech Equity Long & Short BRL FIF Multimercado IE RL; main Brazilian BRL vehicle investing in Schroder GAIA Contour Tech Equity (Luxembourg SICAV); tech-focused L/S equity,Schroder GAIA Contour Tech Equity,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Icatu Vanguarda Crédito Privado,Crédito D<2,True,07.900.255/0001-50,Icatu Vanguarda,matched,Icatu Vanguarda Crédito Privado FI Renda Fixa LP,Icatu Vanguarda,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
AF Invest Geraes,Crédito D<2,True,09.720.734/0001-10,AF Invest,matched,AF Invest FI Renda Fixa Crédito Privado Geraes,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Western Asset Total Credit,Crédito D<2,True,28.320.756/0001-37,Western Asset,matched,Western Asset Total Credit Advisory FIC FI RF CP,Western Asset total credit,unknown,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Status unconfirmed per manual review (funds_subscription_status.xlsx)
Drys Shelter,Crédito D<2,True,52.282.978/0001-97,Drys Capital,matched,Drys Shelter FIC de FI Financeiro RF CP LP RL (feeder),,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
